road_link_id,from_node_id,to_node_id
1,39,67
2,18,125
3,17,62
4,17,67
5,17,124
6,17,125
7,44,62
8,50,90
9,45,63
10,45,129
11,34,130
12,35,132
13,36,134
14,41,124
15,42,104
16,42,132
17,43,97
18,43,135
19,28,98
20,25,120
21,29,136
22,30,83
23,46,83
24,46,88
25,46,138
26,40,82
27,19,82
28,19,110
29,19,138
30,19,145
31,47,97
32,47,136
33,47,137
34,26,98
35,26,137
36,27,88
37,27,140
38,20,109
39,20,110
40,20,140
41,20,144
42,21,79
43,21,96
44,21,109
45,31,108
46,33,117
47,33,146
48,24,100
49,48,145
50,49,143
51,23,147
52,60,116
53,60,117
54,61,72
55,61,73
56,15,70
57,62,17
58,62,44
59,62,68
60,62,92
61,63,45
62,63,65
63,63,70
64,64,69
65,64,90
66,64,106
67,65,63
68,65,69
69,65,90
70,66,67
71,66,2
72,66,124
73,66,130
74,67,39
75,67,17
76,67,66
77,67,91
78,68,62
79,68,94
80,68,124
81,68,131
82,69,64
83,69,65
84,69,129
85,69,133
86,70,15
87,70,63
88,70,123
89,70,128
90,13,129
91,14,128
92,71,104
93,71,135
94,72,61
95,72,77
96,72,119
97,73,61
98,73,133
99,73,12
100,74,97
101,74,3
102,74,134
103,74,136
104,75,37
105,75,132
106,75,134
107,76,97
108,76,98
109,76,135
110,76,137
111,77,72
112,77,142
113,78,99
114,78,121
115,78,142
116,78,149
117,11,99
118,79,21
119,79,95
120,79,107
121,80,101
122,80,143
123,81,82
124,81,6
125,81,145
126,81,5
127,82,40
128,82,19
129,82,81
130,82,84
131,83,30
132,83,46
133,83,84
134,83,136
135,84,82
136,84,83
137,84,4
138,84,138
139,85,110
140,85,144
141,85,145
142,85,7
143,86,96
144,86,109
145,86,140
146,87,9
147,87,107
148,87,8
149,87,147
150,88,46
151,88,27
152,88,89
153,88,137
154,89,88
155,89,110
156,89,139
157,89,140
158,6,81
159,90,50
160,90,64
161,90,65
162,9,87
163,91,67
164,91,1
165,91,51
166,91,125
167,92,62
168,92,125
169,92,127
170,92,16
171,93,105
172,93,126
173,94,68
174,94,106
175,1,91
176,51,91
177,95,79
178,95,122
179,95,144
180,96,21
181,96,86
182,96,141
183,97,43
184,97,47
185,97,74
186,97,76
187,98,28
188,98,26
189,98,76
190,99,78
191,99,11
192,100,24
193,100,101
194,100,114
195,101,80
196,101,100
197,101,10
198,102,115
199,102,148
200,103,38
201,103,130
202,103,132
203,104,42
204,104,71
205,104,131
206,105,93
207,105,123
208,106,64
209,106,94
210,107,79
211,107,87
212,107,22
213,10,101
214,108,31
215,108,115
216,22,107
217,109,20
218,109,21
219,109,86
220,109,122
221,110,19
222,110,20
223,110,85
224,110,89
225,111,112
226,111,120
227,112,111
228,112,118
229,113,117
230,113,121
231,113,148
232,114,100
233,114,116
234,114,146
235,37,75
236,38,103
237,115,102
238,115,108
239,115,146
240,8,87
241,116,60
242,116,114
243,117,33
244,117,60
245,117,113
246,118,112
247,118,119
248,119,72
249,119,118
250,120,25
251,120,111
252,120,149
253,121,78
254,121,113
255,122,95
256,122,109
257,123,70
258,123,105
259,2,66
260,124,17
261,124,41
262,124,66
263,124,68
264,125,18
265,125,17
266,125,91
267,125,92
268,126,93
269,126,127
270,127,92
271,127,126
272,128,70
273,128,14
274,129,45
275,129,69
276,129,13
277,130,34
278,130,66
279,130,103
280,131,68
281,131,104
282,132,35
283,132,42
284,132,75
285,132,103
286,133,69
287,133,73
288,12,73
289,3,74
290,134,36
291,134,74
292,134,75
293,135,43
294,135,71
295,135,76
296,136,29
297,136,47
298,136,74
299,136,83
300,137,47
301,137,26
302,137,76
303,137,88
304,4,84
305,138,46
306,138,19
307,138,84
308,138,139
309,139,89
310,139,138
311,140,27
312,140,20
313,140,86
314,140,89
315,141,96
316,141,143
317,142,77
318,142,78
319,143,49
320,143,80
321,143,141
322,144,20
323,144,85
324,144,95
325,145,19
326,145,48
327,145,81
328,145,85
329,7,85
330,5,81
331,146,33
332,146,114
333,146,115
334,147,23
335,147,87
336,148,102
337,148,113
338,16,92
339,149,78
340,149,120
341,57,58
342,57,77
343,77,57
344,58,57
345,108,80
346,80,108
347,58,59
348,59,58
349,59,115
350,115,58
351,59,31
352,31,59
353,80,147
354,147,80
355,57,32
356,32,57
357,28,135
358,135,28
359,41,130
360,130,41
361,41,131
362,131,41
363,43,134
364,134,43
365,33,102
366,102,33
367,98,52
368,52,53
369,53,54
370,54,55
371,55,56
372,56,77
373,77,56
374,56,55
375,55,54
376,54,53
377,53,52
378,52,98
379,13,13
380,11,11
